horizon,actual,persistence_naive,seasonal_naive_168h,xgboost,prophet
1,0.8517109870381073,1.0290374207058592,0.5360685745192459,0.7659619,0.617024876080107
2,0.6059938226169886,1.0290374207058592,0.378949165238329,0.7129786,0.5906260272342869
3,0.5091093332480324,1.0290374207058592,0.3490260059682503,0.63443655,0.5981010383513673
4,0.479452020923475,1.0290374207058592,0.3608548198091459,0.58116174,0.618536428854943
5,0.5293956934166189,1.0290374207058592,0.3812358871731458,0.5785278,0.6352378082918445
6,0.5916872507661588,1.0290374207058592,0.3638732013242284,0.59405476,0.6443817206140428
7,0.6369477136551566,1.0290374207058592,0.3392458136347487,0.603128,0.6504693602127362
8,0.663514363300402,1.0290374207058592,0.3228336759245641,0.61576474,0.6555158219347788
9,0.6504534460831003,1.0290374207058592,0.3127930544211513,0.6228191,0.6542514341483824
10,0.6107391340261011,1.0290374207058592,0.3030676184384651,0.64067495,0.6404903141584504
11,0.5841984235394331,1.0290374207058592,0.2813882448406731,0.6576359,0.617679537726858
12,0.5599832604000985,1.0290374207058592,0.2941806020574063,0.6476792,0.6017736346070444
13,0.6194165938205672,1.0290374207058592,0.3786936330951749,0.6999738,0.6118612759624383
14,0.7413428708253698,1.0290374207058592,0.5238705292081175,0.7211913,0.6560931010827206
15,0.9005630424824622,1.0290374207058592,0.7075421001588125,0.78199697,0.7253229672299786
16,1.0100789733113626,1.0290374207058592,0.8842836526938983,0.84467226,0.7996944140389665
17,1.0525241677074135,1.0290374207058592,1.0173219048696651,0.91588813,0.8614026014586245
18,1.1014868256441888,1.0290374207058592,1.099950370536244,0.9667168,0.901928111083043
19,1.0725130784813754,1.0290374207058592,1.098973290339888,0.99339664,0.9187862313339265
20,1.0823113339938295,1.0290374207058592,1.0650007404473802,0.9736,0.9080651797511763
21,1.0400795472206767,1.0290374207058592,0.979769167703624,0.9385974,0.8631181242971239
22,0.9821468061281272,1.0290374207058592,0.8348747585067255,0.9304157,0.7825174111545713
23,0.9039028006286546,1.0290374207058592,0.6899840823643623,0.9111933,0.6793017017431875
24,0.7330696242973699,1.0290374207058592,0.5270833957881003,0.79351753,0.5803214077812588
25,0.5436143695517943,1.0290374207058592,0.413037681522692,0.705345,0.513033280385064
26,0.4121527548426402,1.0290374207058592,0.3565388341092323,0.6105875,0.4893631320794885
27,0.3706581540934758,1.0290374207058592,0.37153539359424,0.5646199,0.5000643722887155
28,0.3741487481882979,1.0290374207058592,0.4114706991701165,0.54303676,0.5241833572891277
29,0.4001285081194244,1.0290374207058592,0.445622643914446,0.5418858,0.5449821700687609
30,0.3969975775552317,1.0290374207058592,0.4501197955006731,0.48672003,0.5585909727465239
31,0.3851396929433797,1.0290374207058592,0.4264185479732101,0.48714933,0.5694622563870391
32,0.3752038931173515,1.0290374207058592,0.4244498788116818,0.49225163,0.5795606440273844
33,0.3588059684825112,1.0290374207058592,0.4117714929163013,0.4940188,0.5835647893596017
34,0.3422388197192059,1.0290374207058592,0.4003344357103399,0.5354334,0.5752365037003313
35,0.3310583705801466,1.0290374207058592,0.38528285077951,0.56939125,0.55797049625148
36,0.3479782500031407,1.0290374207058592,0.3827304058755455,0.5724244,0.5476694328721496
37,0.4079303135985851,1.0290374207058592,0.4047268770488997,0.5715033,0.5633711727220401
38,0.5659317967493441,1.0290374207058592,0.475009870449651,0.6276542,0.6131771238231682
39,0.7735449339892537,1.0290374207058592,0.5984112480532775,0.6897003,0.6878939953840478
40,0.9430858192993288,1.0290374207058592,0.7414071153381114,0.7907443,0.7676207325875869
41,1.032608026335728,1.0290374207058592,0.8645715924901349,0.85696924,0.8345108876233318
42,1.071805296725217,1.0290374207058592,0.976487279470032,0.9084438,0.8800068120911422
43,1.0765300267730935,1.0290374207058592,1.044809464687721,0.93826896,0.9015892869865787
44,1.0626449797123847,1.0290374207058592,1.0510886188442758,0.9288993,0.8953160399514473
45,1.032870783374702,1.0290374207058592,1.0073968633369716,0.9135037,0.8545140087699872
46,0.9614523630237296,1.0290374207058592,0.918117223546852,0.90099734,0.7777337562598408
47,0.8324653712459371,1.0290374207058592,0.7547184739950633,0.8513284,0.6779967377247319
48,0.6497639715380811,1.0290374207058592,0.5686958776873234,0.8143108,0.5821408089045157
