horizon,timestamp,price_xgboost,price_seasonal_naive,price_forecast,renewable_share_forecast,price_score,renewable_score,charge_score
1,2026-09-21 09:00:00+00:00,76.67105,196.8,136.73552551269532,0.81298596,0.7726533175537953,0.89939857,0.8360259414230768
2,2026-09-21 10:00:00+00:00,75.7054,180.68,128.19269927978516,0.8181565,0.7974092458264811,0.91616404,0.8567866431959859
3,2026-09-21 11:00:00+00:00,72.99873,166.26,119.6293667602539,0.82990587,0.8222245984801496,0.9542616,0.8882430997256858
4,2026-09-21 12:00:00+00:00,74.13589,161.43,117.78294357299805,0.8440117,0.8275752773700745,1.0,0.9137876386850372
5,2026-09-21 13:00:00+00:00,76.90735,164.9,120.90367431640625,0.7776356,0.8185318315202038,0.7847745,0.8016531568852088
6,2026-09-21 14:00:00+00:00,88.79884,180.65,134.72442169189452,0.7182368,0.7784812181313432,0.5921732,0.6853272184292275
7,2026-09-21 15:00:00+00:00,92.50183,233.67,163.08591552734373,0.6874863,0.6962935336397875,0.49246424,0.5943788890027398
8,2026-09-21 16:00:00+00:00,103.030685,400.09,251.56034271240233,0.6295399,0.4399068866865154,0.30457234,0.3722396152564047
9,2026-09-21 17:00:00+00:00,109.41862,697.31,403.36430862426755,0.60033864,0.0,0.20988686,0.10494343191385269
10,2026-09-21 18:00:00+00:00,117.381195,526.1,321.7405975341797,0.57172555,0.23653421970732333,0.117108546,0.17682138295236888
11,2026-09-21 19:00:00+00:00,118.611115,300.4,209.50555725097655,0.57073176,0.5617758354420838,0.11388617,0.3378310027656643
12,2026-09-21 20:00:00+00:00,117.54993,246.75,182.14996337890625,0.56709963,0.6410485610354971,0.10210895,0.37157875448410865
13,2026-09-21 21:00:00+00:00,117.56925,224.64,171.10462600708007,0.53809935,0.6730564202930298,0.008075158,0.34056578920239045
14,2026-09-21 22:00:00+00:00,116.474625,208.89,162.68231231689452,0.53560895,0.6974631198933408,0.0,0.3487315599466704
15,2026-09-21 23:00:00+00:00,107.54618,198.02,152.78309036254882,0.5406352,0.7261496952696607,0.01629778,0.37122373762349115
16,2026-09-22 00:00:00+00:00,105.75761,188.35,147.05380325317384,0.5577933,0.7427523764979075,0.07193311,0.4073427447682237
